"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"unknown","Fri Jun 02 10:25:17 CEST 2023","Fri Jun 02 10:25:18 CEST 2023","1888","","Demo Tests","","","","First Test",""
"passed","Fri Jun 02 09:18:41 CEST 2023","Fri Jun 02 09:18:43 CEST 2023","1907","","My Login application","","","","should login with valid credentials",""
